SCHL	fod1p	_TYPE_	_FREQ_	p50adj_wagp	p25adj_wagp	p75adj_wagp	mean_grad_degree	mean_grad_degree_all	mean_employed	pct_ts	pct_tsg	dboost	boost	pct_ts_all	pct_tsg_all	gths_mean	gthsftfy_mean	gmajor
Graduate degree	General Engineering	7	5678	100000	67898.48197	135796.964	1	1	0.967200245	0.015333282	0.144061976	22000	0.282051282	0.013971454	0.142342915	0.909897285	0.936752193	Architecture and engineering
Graduate degree	Aerospace Engineering	7	1406	108311.9925	81788.57143	138000	1	1	0.978044572	0.003071156	0.028854672	22693.94129	0.265060241	0.002729878	0.027812339	0.919086114	0.950724356	Architecture and engineering
Graduate degree	Architectural Engineering	7	162	78000	57671.42857	110000	1	1	0.958692111	0.000342746	0.003220229	634.2910681	0.008198607	0.000309766	0.003155938	0.885608856	0.944682848	Architecture and engineering
Graduate degree	Biomedical Engineering	7	1098	83567.36243	50000	126877.1429	1	1	0.974399746	0.002502042	0.023507632	15668.88046	0.230769231	0.002399924	0.024450726	0.854947993	0.891478066	Architecture and engineering
Graduate degree	Chemical Engineering	7	3825	104857.1429	73400	152042.8571	1	1	0.967073784	0.008484266	0.079712878	13857.14286	0.152276295	0.007764568	0.079106382	0.910130901	0.944698763	Architecture and engineering
Graduate degree	Civil Engineering	7	4590	97147.05882	71032.25807	128942.8482	1	1	0.968184662	0.009964481	0.093620064	17147.05882	0.214338235	0.009168582	0.09341066	0.905063622	0.953229686	Architecture and engineering
Graduate degree	Electrical Engineering	7	11945	108002.8571	82523.42286	145000	1	1	0.966264772	0.0264692	0.248688125	18002.85714	0.200031746	0.024188028	0.246430646	0.922729767	0.955920543	Architecture and engineering
Graduate degree	"Engineering Mechanics, Physics, and Science"	7	470	103154.2786	74271.08058	148542.1612	1	1	0.976933735	0.001010681	0.009495726	26899.06036	0.352750421	0.000900317	0.009172544	0.934553795	0.952385284	Architecture and engineering
Graduate degree	Environmental Engineering	7	324	83000	56734.85322	110100	1	1	0.963916092	0.000708681	0.006658322	9760.462211	0.133267665	0.000653068	0.006653541	0.886740254	0.939520706	Architecture and engineering
Graduate degree	Geological and Geophysical Engineering	7	81	109682.1632	78642.85714	161911.7647	1	1	0.996225601	0.000167558	0.001574272	22682.16319	0.260714519	0.000168231	0.001713959	0.947726027	0.969962968	Architecture and engineering
Graduate degree	Industrial and Manufacturing Engineering	7	2087	99236.24288	70000	135000	1	1	0.962529589	0.004605172	0.043267326	20838.99117	0.265812777	0.004327289	0.044086964	0.89120043	0.946148933	Architecture and engineering
Graduate degree	Mechanical Engineering	7	8543	103154.2786	75497.14286	136314.2857	1	1	0.969618896	0.018974012	0.178268007	19586.91615	0.23438476	0.017267436	0.175922795	0.919454496	0.952089397	Architecture and engineering
Graduate degree	Metallurgical Engineering	7	251	103154.2786	71176.45222	135000	1	1	0.971954361	0.000565483	0.005312925	11154.27858	0.121242158	0.000501338	0.005107691	0.926488435	0.951759733	Architecture and engineering
Graduate degree	Mining and Mineral Engineering	7	142	100000	72207.995	144415.99	1	1	0.963744625	0.000310572	0.002917942	9822.857143	0.108928458	0.00027212	0.002772387	0.922493225	0.961373391	Architecture and engineering
